ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1659629180,1727881140,1727881140983,1727881140,1727881140984,0,1,0,1,4,0,1659112503,0,6,0.02,0.0,2648.158,0.0,0.0,2648.158,0.0,XAUUSDm,[so 0.00%/-0.20/0.00],
1659629181,1727881140,1727881140984,1727881140,1727881140985,0,1,0,1,4,0,1659106992,0,6,0.02,0.0,2648.158,0.0,0.0,2648.158,0.0,XAUUSDm,[so 0.00%/-0.20/0.00],
1676650272,1728472093,1728472093136,1728472101,1728472101747,0,2,0,2,2,0,0,0,1,0.5,0.5,2616.8,0.0,0.0,2620.29,0.0,XAUUSDm,,
1676651254,1728472113,1728472113720,1728472136,1728472136259,0,2,0,2,2,0,0,0,1,0.5,0.5,2616.8,0.0,0.0,2620.833,0.0,XAUUSDm,,
1676652475,1728472156,1728472156256,1728477097,1728477097174,0,2,0,2,4,0,1676652475,0,1,0.02,0.0,2616.8,0.0,2642.4,2616.782,0.0,XAUUSDm,,
1676652736,1728472166,1728472166417,1728477097,1728477097175,0,2,0,2,4,0,1676652736,0,1,0.02,0.0,2616.8,0.0,2642.4,2616.782,0.0,XAUUSDm,,
1676653314,1728472193,1728472193107,1728477346,1728477346411,0,2,0,2,4,0,1676653314,0,1,0.02,0.0,2615.8,0.0,2642.4,2615.775,0.0,XAUUSDm,,
1676656970,1728472283,1728472283206,1728479732,1728479732573,0,2,0,2,4,0,1676656970,0,1,0.02,0.0,2614.8,0.0,0.0,2614.791,0.0,XAUUSDm,,
1676658326,1728472332,1728472332946,1728477346,1728477346412,0,2,0,2,4,0,1676658326,0,1,0.02,0.0,2615.8,0.0,0.0,2615.775,0.0,XAUUSDm,,
1676847678,1728477420,1728477420934,1728477730,1728477730640,0,2,0,2,4,0,1676847678,0,1,0.02,0.0,2615.8,0.0,2642.4,2615.767,0.0,XAUUSDm,,
1677006488,1728479875,1728479875284,1728479875,1728479875293,0,1,0,1,4,0,1676652475,0,6,0.02,0.0,2612.589,0.0,0.0,2612.589,0.0,XAUUSDm,[so 0.00%/-0.65/0.00],
1677006499,1728479875,1728479875293,1728479875,1728479875294,0,1,0,1,4,0,1676652736,0,6,0.02,0.0,2612.589,0.0,0.0,2612.589,0.0,XAUUSDm,[so 0.00%/-0.65/0.00],
1677006502,1728479875,1728479875295,1728479875,1728479875295,0,1,0,1,4,0,1676653314,0,6,0.02,0.0,2612.589,0.0,0.0,2612.589,0.0,XAUUSDm,[so 0.00%/-0.65/0.00],
1677006504,1728479875,1728479875296,1728479875,1728479875297,0,1,0,1,4,0,1676658326,0,6,0.02,0.0,2612.589,0.0,0.0,2612.589,0.0,XAUUSDm,[so 0.00%/-0.65/0.00],
1677006507,1728479875,1728479875297,1728479875,1728479875298,0,1,0,1,4,0,1676847678,0,6,0.02,0.0,2612.589,0.0,0.0,2612.589,0.0,XAUUSDm,[so 0.00%/-0.65/0.00],
1677006509,1728479875,1728479875298,1728479875,1728479875299,0,1,0,1,4,0,1676656970,0,6,0.02,0.0,2612.589,0.0,0.0,2612.589,0.0,XAUUSDm,[so 0.00%/-0.65/0.00],
1694411817,1729171502,1729171502040,1729171502,1729171502041,0,1,0,0,4,0,1694411817,0,1,0.02,0.0,0.0,0.0,0.0,2685.727,0.0,XAUUSDm,,
1694413463,1729171533,1729171533100,1729171533,1729171533101,0,1,0,0,4,0,1694413463,0,1,0.01,0.0,0.0,0.0,0.0,2685.101,0.0,XAUUSDm,,
1694435171,1729171886,1729171886044,1729171886,1729171886046,0,1,0,0,4,0,1694435171,0,1,0.02,0.0,0.0,0.0,0.0,2684.451,0.0,XAUUSDm,,
1694436439,1729171902,1729171902182,1729171902,1729171902186,0,1,0,0,4,0,1694436439,0,1,0.02,0.0,0.0,0.0,0.0,2685.101,0.0,XAUUSDm,,
1694438917,1729171939,1729171939827,1729171939,1729171939828,0,1,0,0,4,0,1694438917,0,1,0.02,0.0,0.0,0.0,0.0,2685.334,0.0,XAUUSDm,,
1694440333,1729171966,1729171966543,1729171966,1729171966545,0,1,0,0,4,0,1694440333,0,1,0.01,0.0,0.0,0.0,0.0,2683.652,0.0,XAUUSDm,,
1694441064,1729171979,1729171979662,1729171979,1729171979663,0,0,0,0,4,0,1694440333,0,1,0.01,0.0,0.0,0.0,0.0,2683.404,0.0,XAUUSDm,,
1694445332,1729172035,1729172035130,1729172438,1729172438527,0,3,0,2,4,0,1694445332,0,1,0.02,0.0,2685.4,0.0,0.0,2685.406,0.0,XAUUSDm,,
1694465993,1729172291,1729172291194,1729172291,1729172291195,0,1,0,0,4,0,1694465993,0,1,0.01,0.0,0.0,0.0,0.0,2684.02,0.0,XAUUSDm,,
1694496110,1729172768,1729172768363,1729172768,1729172768371,0,0,0,1,4,0,1694435171,0,6,0.02,0.0,2688.444,0.0,0.0,2688.444,0.0,XAUUSDm,[so 0.00%/-0.15/0.00],
1694496139,1729172768,1729172768371,1729172768,1729172768376,0,0,0,1,4,0,1694436439,0,6,0.02,0.0,2688.47,0.0,0.0,2688.47,0.0,XAUUSDm,[so 0.00%/-0.41/0.00],
1694496155,1729172768,1729172768376,1729172768,1729172768378,0,0,0,1,4,0,1694438917,0,6,0.02,0.0,2688.496,0.0,0.0,2688.496,0.0,XAUUSDm,[so 0.00%/-0.62/0.00],
1694496156,1729172768,1729172768378,1729172768,1729172768379,0,0,0,1,4,0,1694445332,0,6,0.02,0.0,2688.496,0.0,0.0,2688.496,0.0,XAUUSDm,[so 0.00%/-0.62/0.00],
